file,audio_filename,n_segments,mean_segment_duration_s,total_duration_s
enebakk_03gm-04gk_ifg_sb_akl_vb.conc.ort.trs,enebakk_03gm-04gk,498,4.125,2054.320
enebakk_03gm-sr_ifg_sb.trs,enebakk_03gm-sr,227,4.899,1112.160
enebakk_03gm-sr_ifg_sb_akl_vb.conc.ort.trs,enebakk_03gm-sr,227,4.899,1112.160
enebakk_04gk-sr_ifg_sb.trs,enebakk_04gk-sr,93,9.765,908.160
enebakk_04gk-sr_ifg_sb_akl_vb.conc.ort.trs,enebakk_04gk-sr,93,9.765,908.160
evje_01um-02uk_eo_lh_lh.trs,evje_01um-02uk,386,3.185,1229.480
evje_01um-02uk_eo_lh_lh_akl.conc.ort.trs,evje_01um-02uk,386,3.185,1229.480
evje_01um-sl_eo_lh.trs,evje_01um-sl,151,5.254,793.320
evje_01um-sl_eo_lh_akl.conc.ort.trs,evje_01um-sl,151,5.254,793.320
evje_02uk-eo_eo_lh.trs,evje_02uk-eo,97,5.907,572.960
evje_02uk-eo_eo_lh_akl.conc.ort.trs,evje_02uk-eo,97,5.907,572.960
evje_03gm-04gk_ifg_lh.trs,evje_03gm-04gk,403,3.113,1254.400
evje_03gm-04gk_ifg_lh_akl.conc.ort.trs,evje_03gm-04gk,403,3.113,1254.400
evje_03gm-sl_ifg_lh.trs,evje_03gm-sl,138,4.917,678.560
evje_03gm-sl_ifg_lh_akl.conc.ort.trs,evje_03gm-sl,138,4.917,678.560
evje_04gk-eo_ifg_lh.trs,evje_04gk-eo,140,5.463,764.880
evje_04gk-eo_ifg_lh_akl.conc.ort.trs,evje_04gk-eo,140,5.463,764.880
flaa_01um-02uk_ifg_eo.trs,flaa_01um-02uk,237,4.675,1107.920
flaa_01um-02uk_ifg_eo_amg.conc.ort.trs,flaa_01um-02uk,237,4.675,1107.920
flaa_01um-sl_ifg_eo.trs,flaa_01um-sl,148,5.371,794.880
flaa_01um-sl_ifg_eo_amg.conc.ort.trs,flaa_01um-sl,148,5.371,794.880
flaa_02uk-amg_ifg_eo.trs,flaa_02uk-amg,132,5.718,754.800
flaa_02uk-amg_ifg_eo_amg.conc.ort.trs,flaa_02uk-amg,132,5.718,754.800
flaa_03gm-04gk_eo_ifg_amg.trs,flaa_03gm-04gk,377,3.783,1426.360
flaa_03gm-04gk_eo_ifg_amg_amg.conc.ort.trs,flaa_03gm-04gk,377,3.783,1426.360
flaa_03gm-sl_eo_ifg_lh.trs,flaa_03gm-sl,95,6.467,614.400
flaa_03gm-sl_eo_ifg_lh_amg.conc.ort.trs,flaa_03gm-sl,95,6.467,614.400
flaa_04gk-amg_eo_ifg_lh.trs,flaa_04gk-amg,152,4.519,686.960
flaa_04gk-amg_eo_ifg_lh_amg.conc.ort.trs,flaa_04gk-amg,152,4.519,686.960
fredrikstad_01um-02uk_eo_ahl_lh.trs,fredrikstad_01um-02uk,578,2.758,1594.080
fredrikstad_01um-02uk_eo_ahl_lh_amg.conc.ort.trs,fredrikstad_01um-02uk,578,2.758,1594.080
fredrikstad_01um-eo_eo_ahl_lh.trs,fredrikstad_01um-eo,134,5.724,767.040
fredrikstad_01um-eo_eo_ahl_lh_amg.conc.ort.trs,fredrikstad_01um-eo,134,5.724,767.040
fredrikstad_02uk-eo_eo_ahl_lh.trs,fredrikstad_02uk-eo,216,4.540,980.640
fredrikstad_02uk-eo_eo_ahl_lh_amg.conc.ort.trs,fredrikstad_02uk-eo,216,4.540,980.640
fredrikstad_03gm-04gk_ahl_amg.trs,fredrikstad_03gm-04gk,352,3.930,1383.360
fredrikstad_03gm-04gk_ahl_amg_amg.conc.ort.trs,fredrikstad_03gm-04gk,352,3.930,1383.360
fredrikstad_03gm-eo_ahl_lh.trs,fredrikstad_03gm-eo,125,6.551,818.880
fredrikstad_03gm-eo_ahl_lh_amg.conc.ort.trs,fredrikstad_03gm-eo,125,6.551,818.880
fredrikstad_04gk-eo_ahl_eo.trs,fredrikstad_04gk-eo,180,4.950,891.000
